document_id,clean_text,sentiment
1,heavy handed no review added viewer,neutral
2,beautiful film preachy margot best shes given film disappointing marketed fun quirky satire homages movies started way ended overdramatized speeches ending clearly tried make audience feel something left everyone feeling confused say im crotchety old man im woman im pretty sure im movies target audience saddest part parents kids theater victims poor marketing kids movie overall humor fun occasion film beautiful look whole concept falls apart second half film becomes pity party strong woman,positive
3,amazing cast set political message strong no review added viewer,positive
4,hot pink mess no review added viewer,neutral
5,people missing point seeing lot reviews saying movie preachy men portrayed idiots etc satire meant top yes lot say fact people audience id wager negative reviews people didnt bother watch movie dont want hear doesnt make less validin barbieland ken accessory barbie portrayed nothing object something women real world deal time fact many men reacting negatively movie tells dont like treated way women treated every day point movie yet much say ultimately message barbie isnt women rule men drool patriarchy ultimately harms men women thats true people say movie antimen missing entire point patriarchy may give men privilege ultimately hurts pressuring conform rigid idea manhood silencing selfexpressioni living fact movie unapologetic showing absurdity would given werent cringe worthy ken dance number weak part movie otherwise bravo,neutral
6,depressing no review added viewer,neutral
7,could great nd half brings quality humor writing movie fun quirky unique get weeds try explore deeper themes movie miss middle expositional phase movie must say borethe movie close great incapable delivering message without character literally give speech worth dialoguewhat could great satire began cleverly funny movie turned preachy moralizing movie end guess charm first half movie made shortcomings,positive
8,marketing entertaining actual movie no review added viewer,neutral
9,somewhat jumbled mess no review added viewer,neutral
10,strong start thats walked theatre thinking yeah good time movie day went kind ok kebab probably wasnt good ideathe film stunning production design creativity margot robbie perfectly cast stereotypical barbie part songs catchy performances solid type characters portrayingwhen strip away outside world messaging barbie ken poignant moments barbie realising shes perfect shes made believe ken receives first modicum acknowledgement sentient hes ever life also share couple learning growth moments thought would pay end filmi dont know hoping something would actually enlighten audience acknowledge things mess make intentional meaningful steps get us closer understanding equality barbie brand history controversies engrained culture movie potential change perspective world future could thats lot pressure one film knowhowever film absolutely immune notsosubtle messaging permeated forms media entertainment recently fact embraces much scene man walks behind barbie slaps backside broad daylight crowded space front boyfriend kind portrayal men appears film views worldmaybe kind overt comical depiction men world generally allowed get movie kind enjoy upon reflection realise kind yuckbarbie rare opportunity film experience highlighted issues real world offer foster ideas change instead receive divisive meanspirited attack half human population well anyone thinking family acceptable path life also flat feet celluliteif kind switch brain hour bit dont take film seriously maybe youll lasting positive memory seeing moviebut need enjoy something need ask,positive
11,overhyped movie way overhyped everyone kept saying amazing finally go watch thought going storyline good basic corny storyline opinioni didnt care portrayed ken ryan gosling amazing actor good representation ken comes looks actual ken doll looks way acted ken good either didnt get much help writers way wrote part movie much potential definitely let one positive funny parts could written much better could much better storyline,positive
12,technicolor dream no review added viewer,neutral
