POS_TAGS,NOUNS,VERBS,ADJECTIVES,ADVERBS
"[('no', 'DET'), ('review', 'NOUN'), ('added', 'VERB'), ('viewer', 'NOUN')]",2,1,0,0
"[('margot', 'ADV'), ('best', 'ADJ'), ('she', 'PRON'), ('s', 'AUX'), ('given', 'VERB'), ('film', 'NOUN'), ('disappointing', 'ADJ'), ('marketed', 'VERB'), ('fun', 'ADJ'), ('quirky', 'ADJ'), ('satire', 'NOUN'), ('homages', 'NOUN'), ('movies', 'NOUN'), ('started', 'VERB'), ('way', 'NOUN'), ('ended', 'VERB'), ('overdramatized', 'ADJ'), ('speeches', 'NOUN'), ('ending', 'VERB'), ('clearly', 'ADV'), ('tried', 'VERB'), ('make', 'VERB'), ('audience', 'NOUN'), ('feel', 'VERB'), ('something', 'PRON'), ('left', 'VERB'), ('everyone', 'PRON'), ('feeling', 'VERB'), ('confused', 'ADJ'), ('say', 'VERB'), ('i', 'PRON'), ('m', 'VERB'), ('crotchety', 'ADJ'), ('old', 'ADJ'), ('man', 'NOUN'), ('i', 'PROPN'), ('m', 'VERB'), ('woman', 'NOUN'), ('i', 'PRON'), ('m', 'VERB'), ('pretty', 'ADV'), ('sure', 'ADJ'), ('i', 'PRON'), ('m', 'VERB'), ('movies', 'NOUN'), ('target', 'PROPN'), ('audience', 'NOUN'), ('saddest', 'PROPN'), ('part', 'NOUN'), ('parents', 'NOUN'), ('kids', 'VERB'), ('theater', 'NOUN'), ('victims', 'NOUN'), ('poor', 'ADJ'), ('marketing', 'NOUN'), ('kids', 'NOUN'), ('movie', 'NOUN'), ('overall', 'ADJ'), ('humor', 'NOUN'), ('fun', 'NOUN'), ('occasion', 'NOUN'), ('film', 'NOUN'), ('beautiful', 'ADJ'), ('look', 'NOUN'), ('whole', 'ADJ'), ('concept', 'NOUN'), ('falls', 'VERB'), ('apart', 'ADV'), ('second', 'ADJ'), ('half', 'NOUN'), ('film', 'NOUN'), ('becomes', 'VERB'), ('pity', 'NOUN'), ('party', 'NOUN'), ('strong', 'ADJ'), ('woman', 'NOUN')]",29,18,15,4
"[('no', 'DET'), ('review', 'NOUN'), ('added', 'VERB'), ('viewer', 'NOUN')]",2,1,0,0
"[('no', 'DET'), ('review', 'NOUN'), ('added', 'VERB'), ('viewer', 'NOUN')]",2,1,0,0
"[('seeing', 'VERB'), ('lot', 'NOUN'), ('reviews', 'NOUN'), ('saying', 'VERB'), ('movie', 'NOUN'), ('preachy', 'ADJ'), ('men', 'NOUN'), ('portrayed', 'VERB'), ('idiots', 'NOUN'), ('etc', 'X'), ('satire', 'NOUN'), ('meant', 'VERB'), ('top', 'NOUN'), ('yes', 'INTJ'), ('lot', 'NOUN'), ('say', 'VERB'), ('fact', 'NOUN'), ('people', 'NOUN'), ('audience', 'PROPN'), ('i', 'PROPN'), ('d', 'PROPN'), ('wager', 'VERB'), ('negative', 'ADJ'), ('reviews', 'NOUN'), ('people', 'NOUN'), ('did', 'AUX'), ('nt', 'PART'), ('bother', 'VERB'), ('watch', 'VERB'), ('movie', 'NOUN'), ('do', 'AUX'), ('nt', 'PART'), ('want', 'VERB'), ('hear', 'NOUN'), ('does', 'AUX'), ('nt', 'PART'), ('make', 'VERB'), ('less', 'ADJ'), ('validin', 'PROPN'), ('barbieland', 'PROPN'), ('ken', 'PROPN'), ('accessory', 'PROPN'), ('barbie', 'NOUN'), ('portrayed', 'VERB'), ('nothing', 'PRON'), ('object', 'VERB'), ('something', 'PRON'), ('women', 'NOUN'), ('real', 'ADJ'), ('world', 'NOUN'), ('deal', 'NOUN'), ('time', 'NOUN'), ('fact', 'NOUN'), ('many', 'ADJ'), ('men', 'NOUN'), ('reacting', 'VERB'), ('negatively', 'ADV'), ('movie', 'NOUN'), ('tells', 'NOUN'), ('do', 'AUX'), ('nt', 'PART'), ('like', 'VERB'), ('treated', 'VERB'), ('way', 'NOUN'), ('women', 'NOUN'), ('treated', 'VERB'), ('every', 'DET'), ('day', 'NOUN'), ('point', 'NOUN'), ('movie', 'NOUN'), ('yet', 'ADV'), ('much', 'ADJ'), ('say', 'VERB'), ('ultimately', 'ADV'), ('message', 'NOUN'), ('barbie', 'NOUN'), ('is', 'AUX'), ('nt', 'PART'), ('women', 'NOUN'), ('rule', 'NOUN'), ('men', 'NOUN'), ('drool', 'VERB'), ('patriarchy', 'NOUN'), ('ultimately', 'ADV'), ('harms', 'VERB'), ('men', 'NOUN'), ('women', 'NOUN'), ('that', 'PRON'), ('s', 'VERB'), ('true', 'ADJ'), ('people', 'NOUN'), ('say', 'VERB'), ('movie', 'NOUN'), ('antimen', 'NOUN'), ('missing', 'VERB'), ('entire', 'ADJ'), ('point', 'NOUN'), ('patriarchy', 'NOUN'), ('may', 'AUX'), ('give', 'VERB'), ('men', 'NOUN'), ('privilege', 'NOUN'), ('ultimately', 'ADV'), ('hurts', 'VERB'), ('pressuring', 'VERB'), ('conform', 'VERB'), ('rigid', 'ADJ'), ('idea', 'NOUN'), ('manhood', 'NOUN'), ('silencing', 'VERB'), ('selfexpressioni', 'NOUN'), ('living', 'NOUN'), ('fact', 'NOUN'), ('movie', 'NOUN'), ('unapologetic', 'ADJ'), ('showing', 'NOUN'), ('absurdity', 'NOUN'), ('would', 'AUX'), ('given', 'VERB'), ('were', 'AUX'), ('nt', 'PART'), ('cringe', 'VERB'), ('worthy', 'ADJ'), ('ken', 'PROPN'), ('dance', 'NOUN'), ('number', 'NOUN'), ('weak', 'ADJ'), ('part', 'NOUN'), ('movie', 'NOUN'), ('otherwise', 'ADV'), ('bravo', 'PROPN')]",55,29,12,6
"[('no', 'DET'), ('review', 'NOUN'), ('added', 'VERB'), ('viewer', 'NOUN')]",2,1,0,0
"[('quality', 'NOUN'), ('humor', 'NOUN'), ('writing', 'VERB'), ('movie', 'NOUN'), ('fun', 'NOUN'), ('quirky', 'ADJ'), ('unique', 'ADJ'), ('get', 'NOUN'), ('weeds', 'NOUN'), ('try', 'AUX'), ('explore', 'VERB'), ('deeper', 'ADJ'), ('themes', 'NOUN'), ('movie', 'NOUN'), ('miss', 'VERB'), ('middle', 'ADJ'), ('expositional', 'ADJ'), ('phase', 'NOUN'), ('movie', 'NOUN'), ('must', 'AUX'), ('say', 'VERB'), ('borethe', 'NOUN'), ('movie', 'NOUN'), ('close', 'VERB'), ('great', 'ADJ'), ('incapable', 'ADJ'), ('delivering', 'VERB'), ('message', 'NOUN'), ('without', 'ADP'), ('character', 'NOUN'), ('literally', 'ADV'), ('give', 'VERB'), ('speech', 'NOUN'), ('worth', 'ADJ'), ('dialoguewhat', 'INTJ'), ('could', 'AUX'), ('great', 'ADJ'), ('satire', 'NOUN'), ('began', 'VERB'), ('cleverly', 'ADV'), ('funny', 'ADJ'), ('movie', 'NOUN'), ('turned', 'VERB'), ('preachy', 'ADJ'), ('moralizing', 'NOUN'), ('movie', 'NOUN'), ('end', 'NOUN'), ('guess', 'VERB'), ('charm', 'NOUN'), ('first', 'ADJ'), ('half', 'ADJ'), ('movie', 'NOUN'), ('made', 'VERB'), ('shortcomings', 'NOUN')]",23,11,13,2
"[('no', 'DET'), ('review', 'NOUN'), ('added', 'VERB'), ('viewer', 'NOUN')]",2,1,0,0
"[('no', 'DET'), ('review', 'NOUN'), ('added', 'VERB'), ('viewer', 'NOUN')]",2,1,0,0
"[('walked', 'VERB'), ('theatre', 'NOUN'), ('thinking', 'NOUN'), ('yeah', 'INTJ'), ('good', 'ADJ'), ('time', 'NOUN'), ('movie', 'NOUN'), ('day', 'NOUN'), ('went', 'VERB'), ('kind', 'ADV'), ('ok', 'ADP'), ('kebab', 'PROPN'), ('probably', 'ADV'), ('was', 'AUX'), ('nt', 'PART'), ('good', 'ADJ'), ('ideathe', 'ADJ'), ('film', 'NOUN'), ('stunning', 'ADJ'), ('production', 'NOUN'), ('design', 'NOUN'), ('creativity', 'NOUN'), ('margot', 'PROPN'), ('robbie', 'PROPN'), ('perfectly', 'ADV'), ('cast', 'VERB'), ('stereotypical', 'ADJ'), ('barbie', 'PROPN'), ('part', 'NOUN'), ('songs', 'NOUN'), ('catchy', 'NOUN'), ('performances', 'VERB'), ('solid', 'ADJ'), ('type', 'NOUN'), ('characters', 'NOUN'), ('portrayingwhen', 'PROPN'), ('strip', 'PROPN'), ('away', 'ADV'), ('outside', 'ADP'), ('world', 'NOUN'), ('messaging', 'VERB'), ('barbie', 'PROPN'), ('ken', 'PROPN'), ('poignant', 'PROPN'), ('moments', 'NOUN'), ('barbie', 'VERB'), ('realising', 'VERB'), ('she', 'PRON'), ('s', 'X'), ('perfect', 'ADJ'), ('she', 'PRON'), ('s', 'AUX'), ('made', 'VERB'), ('believe', 'VERB'), ('ken', 'PROPN'), ('receives', 'VERB'), ('first', 'ADJ'), ('modicum', 'PROPN'), ('acknowledgement', 'NOUN'), ('sentient', 'NOUN'), ('he', 'PRON'), ('s', 'VERB'), ('ever', 'ADV'), ('life', 'NOUN'), ('also', 'ADV'), ('share', 'VERB'), ('couple', 'NOUN'), ('learning', 'VERB'), ('growth', 'NOUN'), ('moments', 'NOUN'), ('thought', 'VERB'), ('would', 'AUX'), ('pay', 'VERB'), ('end', 'NOUN'), ('filmi', 'NOUN'), ('do', 'AUX'), ('nt', 'PART'), ('know', 'VERB'), ('hoping', 'VERB'), ('something', 'PRON'), ('would', 'AUX'), ('actually', 'ADV'), ('enlighten', 'VERB'), ('audience', 'NOUN'), ('acknowledge', 'VERB'), ('things', 'NOUN'), ('mess', 'NOUN'), ('make', 'VERB'), ('intentional', 'ADJ'), ('meaningful', 'ADJ'), ('steps', 'NOUN'), ('get', 'VERB'), ('us', 'PRON'), ('closer', 'ADV'), ('understanding', 'VERB'), ('equality', 'NOUN'), ('barbie', 'NOUN'), ('brand', 'NOUN'), ('history', 'NOUN'), ('controversies', 'NOUN'), ('engrained', 'VERB'), ('culture', 'NOUN'), ('movie', 'NOUN'), ('potential', 'ADJ'), ('change', 'NOUN'), ('perspective', 'NOUN'), ('world', 'NOUN'), ('future', 'NOUN'), ('could', 'AUX'), ('that', 'PRON'), ('s', 'VERB'), ('lot', 'NOUN'), ('pressure', 'NOUN'), ('one', 'NUM'), ('film', 'NOUN'), ('knowhowever', 'NOUN'), ('film', 'NOUN'), ('absolutely', 'ADV'), ('immune', 'ADJ'), ('notsosubtle', 'NOUN'), ('messaging', 'VERB'), ('permeated', 'VERB'), ('forms', 'NOUN'), ('media', 'NOUN'), ('entertainment', 'NOUN'), ('recently', 'ADV'), ('fact', 'NOUN'), ('embraces', 'VERB'), ('much', 'ADJ'), ('scene', 'NOUN'), ('man', 'NOUN'), ('walks', 'VERB'), ('behind', 'ADP'), ('barbie', 'PROPN'), ('slaps', 'NOUN'), ('backside', 'VERB'), ('broad', 'ADJ'), ('daylight', 'NOUN'), ('crowded', 'VERB'), ('space', 'NOUN'), ('front', 'ADJ'), ('boyfriend', 'NOUN'), ('kind', 'NOUN'), ('portrayal', 'NOUN'), ('men', 'NOUN'), ('appears', 'VERB'), ('film', 'NOUN'), ('views', 'NOUN'), ('worldmaybe', 'ADV'), ('kind', 'ADJ'), ('overt', 'ADJ'), ('comical', 'ADJ'), ('depiction', 'NOUN'), ('men', 'NOUN'), ('world', 'NOUN'), ('generally', 'ADV'), ('allowed', 'VERB'), ('get', 'VERB'), ('movie', 'NOUN'), ('kind', 'NOUN'), ('enjoy', 'VERB'), ('upon', 'SCONJ'), ('reflection', 'NOUN'), ('realise', 'VERB'), ('kind', 'ADJ'), ('yuckbarbie', 'PROPN'), ('rare', 'ADJ'), ('opportunity', 'NOUN'), ('film', 'NOUN'), ('experience', 'NOUN'), ('highlighted', 'VERB'), ('issues', 'NOUN'), ('real', 'ADJ'), ('world', 'NOUN'), ('offer', 'VERB'), ('foster', 'ADJ'), ('ideas', 'NOUN'), ('change', 'VERB'), ('instead', 'ADV'), ('receive', 'VERB'), ('divisive', 'ADJ'), ('meanspirited', 'ADJ'), ('attack', 'NOUN'), ('half', 'DET'), ('human', 'ADJ'), ('population', 'NOUN'), ('well', 'ADV'), ('anyone', 'PRON'), ('thinking', 'VERB'), ('family', 'NOUN'), ('acceptable', 'ADJ'), ('path', 'NOUN'), ('life', 'NOUN'), ('also', 'ADV'), ('flat', 'ADJ'), ('feet', 'NOUN'), ('celluliteif', 'NOUN'), ('kind', 'NOUN'), ('switch', 'VERB'), ('brain', 'NOUN'), ('hour', 'NOUN'), ('bit', 'NOUN'), ('do', 'AUX'), ('nt', 'PART'), ('take', 'VERB'), ('film', 'NOUN'), ('seriously', 'ADV'), ('maybe', 'ADV'), ('you', 'PRON'), ('ll', 'AUX'), ('lasting', 'VERB'), ('positive', 'ADJ'), ('memory', 'NOUN'), ('seeing', 'NOUN'), ('moviebut', 'CCONJ'), ('need', 'VERB'), ('enjoy', 'VERB'), ('something', 'PRON'), ('need', 'AUX'), ('ask', 'VERB')]",86,46,28,17
